Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Tirta 8,5,2,Water treatment plant,Jalan parangtritis km 8.5 Sewon Bantul,Bantul,Tirta 8 Water treatment plant Bantul ,-7.8684626,110.3515983
Balai Desa Bangunharjo Sewon Bantul,4,32,Government office,49XF+36P,Bantul,Balai Desa Bangunharjo Sewon Bantul Government office Bantul ,-7.8522881,110.3730666
Puskesmas Sewon 1,3.1,153,Public medical center,Jl. Parangtritis No.Km. 7,Bantul,Puskesmas Sewon 1 Public medical center Bantul ,-7.860889,110.353412
Sewon District Office,3.9,38,District government office,5925+5PW,Bantul,Sewon District Office District government office Bantul ,-7.8495092,110.3593208
IPAL Komunal Ngentak,,,Sewage treatment plant,499F+8RG,Bantul,IPAL Komunal Ngentak Sewage treatment plant Bantul ,-7.8816923,110.3745851
Pemerintah Kalurahan Panggungharjo,3.8,31,Government office,"5964+7XQ, Jl. KH Ali Maksum, Panggungharjo, Sewon",Bantul,Pemerintah Kalurahan Panggungharjo Government office Bantul ,-7.8392962,110.3574871
BJ - OXY,2.7,3,Water treatment plant,Jalan Parangtritis Km.10 Gabusan Rendeng Wetan Timbulharjo Sewon,Bantul,BJ - OXY Water treatment plant Bantul ,-7.91197,110.3516579
Bantulpedia,,,City district office,Dinas Komunikasi dan Informatika,Bantul,Bantulpedia City district office Bantul ,-7.8866175,110.3274928
Tembi Rumah Budaya,4.4,3176,Hotel,Jl. Parangtritis No.Km 8.4,Bantul,Tembi Rumah Budaya Hotel Bantul ,-7.8700932,110.3562056
SD Negeri Timbulharjo,4.4,18,Elementary school,Jl. Parangtritis,Bantul,SD Negeri Timbulharjo Elementary school Bantul ,-7.8693837,110.3519828
Kantor Pemkab Bantul,5,2,Government office,38XX+28C kantor pemkab,Bantul,Kantor Pemkab Bantul Government office Bantul ,-7.9024317,110.3482722
Bantul Village Head Office,3.6,7,Local government office,Jl. Nyi Ageng Serang No.15 - 17,Bantul,Bantul Village Head Office Local government office Bantul ,-7.882297,110.331733
Bantul Regent Office,4.2,80,City district office,487H+94M,Bantul,Bantul Regent Office City district office Bantul ,-7.8865284,110.3278045
Gedung Balai Desa Tamanan,4.2,184,Government office,jalal Pasoepati No.142,Bantul,Gedung Balai Desa Tamanan Government office Bantul ,-7.8441609,110.3834559
Trirenggo Districf Office,4.3,32,District government office,"Kapanewon, Jl. Ir. H. Juanda No.17",Bantul,Trirenggo Districf Office District government office Bantul ,-7.898246,110.3411584
KANTOR DESA,5,2,Government office,Jl. Pleret No.3,Bantul,KANTOR DESA Government office Bantul ,-7.8748176,110.3255365
"Depot Air Minum Isi Ulang ""MINERO WATER""",4.7,17,Store,Dagan RT 8 Timbulharjo Sewon Bantul,Bantul,"Depot Air Minum Isi Ulang ""MINERO WATER"" Store Bantul ",-7.877917,110.359728
Badan Pertanahan Nasional ( ATR/BPN ) Kabupaten Bantul,3.8,212,City district office,"483W+QJJ, Jl. Ringroad Timur",Bantul,Badan Pertanahan Nasional ( ATR/BPN ) Kabupaten Bantul City district office Bantul ,-7.8955388,110.3465124
Asrama hikari,,,Home inspector,49J5+HJ5,Bantul,Asrama hikari Home inspector Bantul ,-7.8748176,110.3255365
dOmah Hotel Yogya,4.5,912,Hotel,Jl. Tembi Jl. Parangtritis,Bantul,dOmah Hotel Yogya Hotel Bantul ,-7.8714719,110.3534948
Argesh Fresh Ngoto,,,Water treatment plant,"49JF+7R2, Jl. Imogiri Barat",Bantul,Argesh Fresh Ngoto Water treatment plant Bantul ,-7.869355,110.374519
