Nama,Jenis,Alamat,Rating,Ulasan,Kota,Full Address,Latitude,Longitude
SD N Timbulharjo,School,"49H6+J9P, Jl. Tembi",,,Bantul,SD N Timbulharjo School Bantul ,-7.8708923,110.3609897
Pemerintah Kalurahan Timbulharjo,Government office,"49H6+F8F, Jalan Cangkring Malang",3.6,30,Bantul,Pemerintah Kalurahan Timbulharjo Government office Bantul ,-7.8713029,110.3607951
SD Negeri Kepuhan,Primary school,"49HC+VC5, Jl. Semail",4.1,17,Bantul,SD Negeri Kepuhan Primary school Bantul ,-7.8703666,110.3711186
SD Negeri Gandok,Elementary school,"Jl. Imogiri Barat No.7, RW.5",4,11,Bantul,SD Negeri Gandok Elementary school Bantul ,-7.8587417,110.3743755
Pacar Public Elementary School,Elementary school,49FG+F75,4.1,23,Bantul,Pacar Public Elementary School Elementary school Bantul ,-7.876364,110.3757481
SPS Teratai,Preschool,"49G6+68G, JL. Dobalan, Timbulharjo, Sewon",,,Bantul,SPS Teratai Preschool Bantul ,-7.8744347,110.3608418
TPA MELATI,School,"49H3+WHV, Jl. Tembi",5,1,Bantul,TPA MELATI School Bantul ,-7.8701484,110.3539106
Tembi Rumah Budaya,Hotel,Jl. Parangtritis No.Km 8.4,4.4,3176,Bantul,Tembi Rumah Budaya Hotel Bantul ,-7.8700932,110.3562056
SLB MAARIF BANTUL,School,49C6+HWV,4.1,9,Bantul,SLB MAARIF BANTUL School Bantul ,-7.8785048,110.3622935
SMK Teknologi Bantul,Vocational school,"Jl. Parangtritis No.KM 10,5",5,6,Bantul,SMK Teknologi Bantul Vocational school Bantul ,-7.8871299,110.3517831
SD Negeri Balong,Elementary school,48CX+F8X,4.7,15,Bantul,SD Negeri Balong Elementary school Bantul ,-7.8787513,110.3483463
MI Al Iman Sorogenen,School,"49MG+MH4, Unnamed Road",5,2,Bantul,MI Al Iman Sorogenen School Bantul ,-7.8658615,110.376457
Taman Kanak- Kanak Masyithoh Ngasem,Kindergarten,"49G9+QRM, Jl. Imogiri Barat",4.1,8,Bantul,Taman Kanak- Kanak Masyithoh Ngasem Kindergarten Bantul ,-7.8730342,110.3695549
TK N Pembina Bantul Yogyakarta,Kindergarten,"Bantul Regency, Special Region of Yogyakarta",4.3,6,Bantul,TK N Pembina Bantul Yogyakarta Kindergarten Bantul ,-7.8701484,110.3543243
SMK Negeri 2 Sewon,School,"Bantul Regency, Special Region of Yogyakarta",4.1,36,Bantul,SMK Negeri 2 Sewon School Bantul ,-7.8722696,110.3655969
Dusun Balong,Cultural center,"48FX+3CQ, Unnamed Rd,",4.5,19,Bantul,Dusun Balong Cultural center Bantul ,-7.8772843,110.3486075
SMK Nurul Iman,Vocational school,Jl. Imogiri Barat No.16,4.4,10,Bantul,SMK Nurul Iman Vocational school Bantul ,-7.8678687,110.3746635
Slanggen Aisyiyah Kindergarten,Preschool,"49H5+5JG, JL. Slanggen, Timbulharjo, Sewon",5,3,Bantul,Slanggen Aisyiyah Kindergarten Preschool Bantul ,-7.8720638,110.359068
TK PKK 6 SUDIMORO,School,49JF+98M,,,Bantul,TK PKK 6 SUDIMORO School Bantul ,-7.8690389,110.3732909
,,,,,Bantul,  Bantul ,-7.8748176,110.3255365
,,,,,Bantul,  Bantul ,-7.8748176,110.3255365
SMK N 2 SEWON UNIT 2,Vocational school,"Bantul Regency, Special Region of Yogyakarta",4.4,14,Bantul,SMK N 2 SEWON UNIT 2 Vocational school Bantul ,-7.8723367,110.3658153
SMK Negeri 2 Sewon Unit 1,Vocational school,"49Q3+6Q2, Jl. Parangtritis, Timbulharjo, Sewon",4.5,31,Bantul,SMK Negeri 2 Sewon Unit 1 Vocational school Bantul ,-7.8619809,110.3543913
SMP Al Ma'arif Bantul,Middle school,"Jalan Imogiri Barat Km. 8, Timbulharjo, Sewon",4.4,15,Bantul,SMP Al Ma'arif Bantul Middle school Bantul ,-7.8674071,110.3750957
Bimbel TUNTAS Bantul SD-SMP,After school program,Perum. Karangjati Indah I Blok C7 No.7B,5,8,Bantul,Bimbel TUNTAS Bantul SD-SMP After school program Bantul ,-7.8346493,110.3184304
dOmah Hotel Yogya,Hotel,Jl. Tembi Jl. Parangtritis,4.5,912,Bantul,dOmah Hotel Yogya Hotel Bantul ,-7.8714719,110.3534948
