Nama,Rating,Review,Jenis,Alamat,Kabupaten/Kota,Full Address,Latitude,Longitude
Masjid Al- Dzikro,4.6,159,Masjid,"49MF+4Q6, Jl. Imogiri Barat",Bantul,Masjid Al- Dzikro Masjid Bantul ,-7.8672202,110.3743756
KUA Kapanewon Sewon,4.7,15,Lembaga Agama,"Jl. Parangtritis No.5,6",Bantul,KUA Kapanewon Sewon Lembaga Agama Bantul ,-7.8468951,110.360483
Pura Karanggede Sewon Bantul,4.2,25,Pura,"48GP+F2G, Jl. Bantul",Bantul,Pura Karanggede Sewon Bantul Pura Bantul ,-7.8738182,110.335067
Masjid As-Salam,4.7,30,Masjid,"5949+76W, Perum, Jl. Graha Yasa 1 Jl. Ateka",Bantul,Masjid As-Salam Masjid Bantul ,-7.8748176,110.3255365
Mushola Al-Fatah Kwatangan,4.9,13,Masjid,"38P6+Q4Q, Kwatangan",Bantul,Mushola Al-Fatah Kwatangan Masjid Bantul ,-7.9130439,110.3103542
Gereja Kristen Jawa Jodhog,4.7,23,Gereja,"38Q6+P2P, Nopaten, Gilingharjo, Pandak",Bantul,Gereja Kristen Jawa Jodhog Gereja Bantul ,-7.9106669,110.3100756
GKJ Karangbendo,4.8,86,Gereja,Jl. Sukun Raya Gg. Kamboja No.96,Bantul,GKJ Karangbendo Gereja Bantul ,-7.7860781,110.406715
Masjid Al Falaah,4.7,102,Masjid,"Jl. Parangtritis No.Km 12,5",Bantul,Masjid Al Falaah Masjid Bantul ,-7.8864241,110.3453945
"Gereja Katolik Hati Kudus Tuhan Yesus, Ganjuran",4.9,12183,Gereja Katolik,Jl. Ganjuran,Bantul,"Gereja Katolik Hati Kudus Tuhan Yesus, Ganjuran Gereja Katolik Bantul ",-7.9264582,110.319129
GKJ Gunturgeni,3.6,30,Gereja Kristen,"Gunturgeni RT 01, Srandakan",Bantul,GKJ Gunturgeni Gereja Kristen Bantul ,-7.9610319,110.2503193
Masjid Mataram Kotagedhe Yogyakarta,4.8,86,Masjid,59CX+792,Bantul,Masjid Mataram Kotagedhe Yogyakarta Masjid Bantul ,-7.8293703,110.3984048
"Gereja Katolik Santo Yakobus Alfeus, Pajangan",4.7,132,Gereja Katolik,478C+48R,Bantul,"Gereja Katolik Santo Yakobus Alfeus, Pajangan Gereja Katolik Bantul ",-7.8846338,110.2707718
"Gereja Katolik Mater Dei, Imogiri",4.8,59,Gereja Katolik,"39HJ+HVQ, Jl. Makam Suci",Bantul,"Gereja Katolik Mater Dei, Imogiri Gereja Katolik Bantul ",-7.9210321,110.3822367
Masjid Al Huda,4.9,19,Masjid,Cikalan RT 02,Bantul,Masjid Al Huda Masjid Bantul ,-7.8276307,110.395109
Mushola Darul Muttaqin,5,2,Tempat Ibadah,8CFJ+XXX,Bantul,Mushola Darul Muttaqin Tempat Ibadah Bantul ,-7.896901,110.2973576
,,,,,,   ,,
