Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Pemerintah Kalurahan Timbulharjo,3.6,30,Government office,"49H6+F8F, Jalan Cangkring Malang",Bantul,"Pemerintah Kalurahan Timbulharjo Government office 49H6+F8F, Jalan Cangkring Malang Bantul ",-7.8713029,110.3607951
SMK Kesehatan Bantul,4.6,125,School,Jalan Parangtritis Km No.11,Bantul,SMK Kesehatan Bantul School Jalan Parangtritis Km No.11 Bantul ,-7.8866278,110.3504857
Klinik Pratama Cita Sehat,4.8,16,Medical clinic,Jl. Parangtritis No.KM.10,Bantul,Klinik Pratama Cita Sehat Medical clinic Jl. Parangtritis No.KM.10 Bantul ,-7.8839737,110.3522279
Puskesmas Pleret,4.1,94,Public medical center,"Jl. Imogiri Tim. No.KM, RW.9",Bantul,"Puskesmas Pleret Public medical center Jl. Imogiri Tim. No.KM, RW.9 Bantul ",-7.89125,110.384328
Puskesmas Sewon II,3.5,171,Public health department,"JL. Parangtritis, Km. 6, Sewon",Bantul,"Puskesmas Sewon II Public health department JL. Parangtritis, Km. 6, Sewon Bantul ",-7.8531596,110.3538279
Department of Health Bantul Regency,3.5,67,Public health department,"38WX+85X, Komplek II Kantor Pemerintah Kabupaten Bantul, Jl. Lingkar Timur, Manding, Trirenggo",Bantul,"Department of Health Bantul Regency Public health department 38WX+85X, Komplek II Kantor Pemerintah Kabupaten Bantul, Jl. Lingkar Timur, Manding, Trirenggo Bantul ",-7.9041365,110.3479716
JAMKESDA BANTUL,4,6,Public medical center,Jl. Marsda Adisucipto No.53,Bantul,JAMKESDA BANTUL Public medical center Jl. Marsda Adisucipto No.53 Bantul ,-7.895955,110.336996
Healthy House BAZNAS Yogyakarta,4.6,57,Free clinic,Jl. Imogiri Barat,Bantul,Healthy House BAZNAS Yogyakarta Free clinic Jl. Imogiri Barat Bantul ,-7.8621929,110.374315
RSJ CANDA,5,20,Mental health service,49G9+5PX,Bantul,RSJ CANDA Mental health service 49G9+5PX Bantul ,-7.8746103,110.3689226
Tembi Rumah Budaya,4.4,3176,Hotel,Jl. Parangtritis No.Km 8.4,Bantul,Tembi Rumah Budaya Hotel Jl. Parangtritis No.Km 8.4 Bantul ,-7.8918432,110.3525479
Puskesmas Banguntapan II,2.8,133,Public medical center,Jl. Pasopati No.99,Bantul,Puskesmas Banguntapan II Public medical center Jl. Pasopati No.99 Bantul ,-7.8445613,110.3836127
Bantul 1 Public Medical Center,3.1,85,Public medical center,"Jl. KH. Wahid Hasim No. 208, Palbapang, Bantul",Bantul,"Bantul 1 Public Medical Center Public medical center Jl. KH. Wahid Hasim No. 208, Palbapang, Bantul Bantul ",-7.9034585,110.321736
STIKes AKBIDYO,4.6,102,College,"Jalan Parangtritis KM.6, Sewon, Panggungharjo, Bantul",Bantul,"STIKes AKBIDYO College Jalan Parangtritis KM.6, Sewon, Panggungharjo, Bantul Bantul ",-7.8531596,110.3538279
BPJS Kesehatan Bantul,3.2,348,Social security office,Jl. Dr. Wahidin Sudiro Husodo No.54,Bantul,BPJS Kesehatan Bantul Social security office Jl. Dr. Wahidin Sudiro Husodo No.54 Bantul ,-7.8934988,110.3392291
Klinik Madukismo,4,20,Medical clinic,Jl. Padokan,Bantul,Klinik Madukismo Medical clinic Jl. Padokan Bantul ,-7.8295158,110.3444769
Enggal Saras Drugstore,4.5,11,Pharmacy,"499F+8RF, Jl. Imogiri Barat",Bantul,"Enggal Saras Drugstore Pharmacy 499F+8RF, Jl. Imogiri Barat Bantul ",-7.8816958,110.3745484
Klinik Rahma Medika,4,21,Medical clinic,"Jl.Bantul Km.8 Bakalan, Pendowoharjo,Sewon,Bantul",Bantul,"Klinik Rahma Medika Medical clinic Jl.Bantul Km.8 Bakalan, Pendowoharjo,Sewon,Bantul Bantul ",-7.8718187,110.3368259
dOmah Hotel Yogya,4.5,912,Hotel,Jl. Tembi Jl. Parangtritis,Bantul,dOmah Hotel Yogya Hotel Jl. Tembi Jl. Parangtritis Bantul ,-7.8714719,110.3534948
PHC Imogiri II,3.1,46,Public medical center,"Mojohuro, Jl. Imogiri Siluk",Bantul,"PHC Imogiri II Public medical center Mojohuro, Jl. Imogiri Siluk Bantul ",-7.9445937,110.372661
Instalasi Farmasi Kabupaten Bantul,4.3,16,Warehouse,"484P+9F5, Jl. Marsda Adisucipto",Bantul,"Instalasi Farmasi Kabupaten Bantul Warehouse 484P+9F5, Jl. Marsda Adisucipto Bantul ",-7.8941092,110.3362197
Homestay Omah Lila Tembi Managed by The Grand Java,4.8,197,Homestay,"Km.8,5, Timbulharjo, 55186, Jl. Parangtritis",Bantul,"Homestay Omah Lila Tembi Managed by The Grand Java Homestay Km.8,5, Timbulharjo, 55186, Jl. Parangtritis Bantul ",-7.8741005,110.3535766
Puskesmas Imogiri I,4,81,Public medical center,"Bantul Regency, Special Region of Yogyakarta",Bantul,"Puskesmas Imogiri I Public medical center Bantul Regency, Special Region of Yogyakarta Bantul ",-7.9198361,110.380306
Klinik Meira (Meira Medical Center),4.8,348,Medical clinic,Jl. Bantul No.93,Bantul,Klinik Meira (Meira Medical Center) Medical clinic Jl. Bantul No.93 Bantul ,-7.8288143,110.3538603
Puskesmas Jetis I,3.8,48,Public medical center,"Jalan Imogiri Barat KM. 12,5, Denokan, Trimulyo, Jetis",Bantul,"Puskesmas Jetis I Public medical center Jalan Imogiri Barat KM. 12,5, Denokan, Trimulyo, Jetis Bantul ",-7.8979014,110.3751182
Larissa Aesthetic Center Bantul,4.9,3348,Skin care clinic,Jl. Bantul Km.10 Melikan Lor,Bantul,Larissa Aesthetic Center Bantul Skin care clinic Jl. Bantul Km.10 Melikan Lor Bantul ,-7.8787711,110.3339301
Puskesmas Pajangan,3.9,56,Public medical center,"Jalan Pajangan-Sedayu, Jl. Pajangan-Bantul No.20",Bantul,"Puskesmas Pajangan Public medical center Jalan Pajangan-Sedayu, Jl. Pajangan-Bantul No.20 Bantul ",-7.8934615,110.2896197
Puskesmas Jetis II,4.1,24,Public medical center,Jl. Parangtritis No.KM.15,Bantul,Puskesmas Jetis II Public medical center Jl. Parangtritis No.KM.15 Bantul ,-7.9281302,110.3491175
Klinik Rumah Sehat Alisa,4.9,18,Medical clinic,Jl.Kuwiiran No.RT.4,Bantul,Klinik Rumah Sehat Alisa Medical clinic Jl.Kuwiiran No.RT.4 Bantul ,-7.8813075,110.3222026
Arfa Barbershop Tembi,4.4,249,Barber shop,"Jalan Parangtritis Km.8, Tembi, Timbulharjo, Bantul",Bantul,"Arfa Barbershop Tembi Barber shop Jalan Parangtritis Km.8, Tembi, Timbulharjo, Bantul Bantul ",-7.86587,110.352219
Puskesmas Mantijeron,3.4,159,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,"Puskesmas Mantijeron Public medical center Yogyakarta City, Special Region of Yogyakarta Bantul ",-7.8205747,110.3614812
NHConsultant,,,Consultant,"Kompleks Graha Nur Hidayah.5, Jl. Imogiri Tim. No.KM 11.5",Bantul,"NHConsultant Consultant Kompleks Graha Nur Hidayah.5, Jl. Imogiri Tim. No.KM 11.5 Bantul ",-7.89125,110.384328
Klinik Cahaya Husada,4.1,25,Medical clinic,iroyudan,Bantul,Klinik Cahaya Husada Medical clinic iroyudan Bantul ,-7.8788388,110.3141417
Health center Nitikan,3.9,15,Public medical center,"Yogyakarta City, Special Region of Yogyakarta",Bantul,"Health center Nitikan Public medical center Yogyakarta City, Special Region of Yogyakarta Bantul ",-7.8254957,110.3834217
