Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Toko Pak Surat,5,1,Store,49G9+WQ4,Bantul,Toko Pak Surat 49G9+WQ4 Bantul ,-7.8727419,110.3694625
Toko Mubarok,4,4,Convenience store,Jl. Parangtritis,Bantul,Toko Mubarok Jl. Parangtritis Bantul ,-7.8701618,110.3558042
Toko Vibra,4.3,78,Grocery store,"49G9+MXX, Jalan Parangtritis Ngasem Timbulharjo Sewon",Bantul,"Toko Vibra 49G9+MXX, Jalan Parangtritis Ngasem Timbulharjo Sewon Bantul ",-7.8732527,110.3699777
Toko Rahma,4.6,24,Store,"Bantul Regency, Special Region of Yogyakarta",Bantul,"Toko Rahma Bantul Regency, Special Region of Yogyakarta Bantul ",-7.8751171,110.347063
Toko Candra,4.4,37,Supermarket,Jalan Parangtritis Km.8 Bangi Timbulharjo Sewon,Bantul,Toko Candra Jalan Parangtritis Km.8 Bangi Timbulharjo Sewon Bantul ,-7.86587,110.352219
Toko Ririn,4.6,14,Grocery store,499G+VG5,Bantul,Toko Ririn 499G+VG5 Bantul ,-7.8803738,110.3763537
Toko BIMA,5,3,Convenience store,Jalan Imogiri Barat,Bantul,Toko BIMA Jalan Imogiri Barat Bantul ,-7.882349,110.3744242
Toko Anggit,,,Store,49C5+9C,Bantul,Toko Anggit 49C5+9C Bantul ,-7.7994796,110.420681
TOKO SHIVA 014,5,4,Store,Jl. Tulip,Bantul,TOKO SHIVA 014 Jl. Tulip Bantul ,-7.8863821,110.3644948
Toko taufik,,,Store,"Jl. Parangtritis No.km 9,6",Bantul,"Toko taufik Jl. Parangtritis No.km 9,6 Bantul ",-7.8795793,110.351995
Toko Xl,3,1,Convenience store,"49GF+J7M, Jl. Imogiri Barat",Bantul,"Toko Xl 49GF+J7M, Jl. Imogiri Barat Bantul ",-7.8734198,110.3731716
Toko Tentrem,5,2,Supermarket,49G3+P9H,Bantul,Toko Tentrem 49G3+P9H Bantul ,-7.8731896,110.353498
Toko Lestari Agung,4.7,3,Grocery store,Jl. Parangtritis,Bantul,Toko Lestari Agung Jl. Parangtritis Bantul ,-7.8764,110.351566
Toko Alfredo,5,5,Home goods store,sanggrahan rt 02,Bantul,Toko Alfredo sanggrahan rt 02 Bantul ,-7.8837033,110.3622844
