Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
The World Landmarks - Merapi Park Yogyakarta,4.3,17500,Park and Garden,Daerah Istimewa Yogyakarta,Bantul,The World Landmarks - Merapi Park Yogyakarta Park and Garden Bantul ,-7.8748176,110.3255365
Tegaldowo Puspa Gading Park,,,Tourist attraction,"48PF+FCG, Jl. Grujugan",Bantul,Tegaldowo Puspa Gading Park Tourist attraction Bantul ,-7.8658973,110.3224493
Gabusan Art Market,4.4,7672,Tourist attraction,Jl. Parangtritis,Bantul,Gabusan Art Market Tourist attraction Bantul ,-7.8767695,110.3499729
Becici Peak,4.5,15799,National reserve,"Gunungcilik, RT.07/RW.02",Bantul,Becici Peak National reserve Bantul ,-7.9020355,110.4374627
Grand Puri Waterpark,4.2,2791,Tourist attraction,"Gabusan, Jl. Parangtritis No.KM. 9",Bantul,Grand Puri Waterpark Tourist attraction Bantul ,-7.8777881,110.3527371
Tembi Desa Budaya,,,Tourist attraction,Jl. Parangtritis Jl. Tembi No.8,Bantul,Tembi Desa Budaya Tourist attraction Bantul ,-7.8701836,110.3570018
Desa Wisata Tembi,5,1,Tourist attraction,Jl. Tembi,Bantul,Desa Wisata Tembi Tourist attraction Bantul ,-7.8725003,110.3545201
Puncak Sosok,4.6,10524,National reserve,"Bantul Regency, Special Region of Yogyakarta",Bantul,Puncak Sosok National reserve Bantul ,-7.8716924,110.4261904
Cagar Budaya Situs Kerto Keraton Sultan Agung,4.5,308,Tourist attraction,49HW+CV5,Bantul,Cagar Budaya Situs Kerto Keraton Sultan Agung Tourist attraction Bantul ,-7.8714869,110.3972279
Kawasan Wisata Banjaran,4.7,50,Tourist attraction,"48M8+WCG, Jl. Banjaran Selarong Jl. Watugedug",Bantul,Kawasan Wisata Banjaran Tourist attraction Bantul ,-7.8651788,110.3160859
Jurang Pulosari,,,Tourist attraction,"47QP+JR8, Sendangsari, Pajangan",Bantul,Jurang Pulosari Tourist attraction Bantul ,-7.8609616,110.2870897
Watu Goyang,4.4,1403,Tourist attraction,"Cempluk, Jl. Watu Goyang No.1",Bantul,Watu Goyang Tourist attraction Bantul ,-7.9274086,110.4120586
Jurang Tembelan Kanigoro,4.5,4068,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Jurang Tembelan Kanigoro Tourist attraction Bantul ,-7.9400233,110.4298257
Hutan Pinus Mangunan,4.6,22834,Tourist attraction,Jl raya Jl. Hutan Pinus Nganjir,Bantul,Hutan Pinus Mangunan Tourist attraction Bantul ,-7.9258158,110.4317585
Desa Wisata Gerabah Kasongan Yogyakarta,4.5,905,Tourist attraction,Jl. Kasongan No.3,Bantul,Desa Wisata Gerabah Kasongan Yogyakarta Tourist attraction Bantul ,-7.8455358,110.3379568
Halaman Depan Taman Pelangi Gabusan,,,Tourist attraction,"49C2+VHQ, Unnamed Road",Bantul,Halaman Depan Taman Pelangi Gabusan Tourist attraction Bantul ,-7.8777896,110.3514996
Taman Glugut Karangwuni,4,284,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Taman Glugut Karangwuni Tourist attraction Bantul ,-7.8777976,110.3939277
Seribu Batu Songgo Langit,4.6,6097,Tourist attraction,Jl. Hutan Pinus Nganjir,Bantul,Seribu Batu Songgo Langit Tourist attraction Bantul ,-7.9310984,110.430919
Desa Wisata Kebonagung Imogiri,4.5,82,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Desa Wisata Kebonagung Imogiri Tourist attraction Bantul ,-7.9324935,110.3684608
Sendang Ngembel,3.8,298,Tourist attraction,"Beji Wetan, RT.03",Bantul,Sendang Ngembel Tourist attraction Bantul ,-7.8860543,110.2922656
WISATA SRIHARJO,,,Tourist attraction,3C49+546,Bantul,WISATA SRIHARJO Tourist attraction Bantul ,-7.9445983,110.4177579
The World Landmarks - Merapi Park Yogyakarta,4.3,17500,Park and Garden,Daerah Istimewa Yogyakarta,Bantul,The World Landmarks - Merapi Park Yogyakarta Park and Garden Bantul ,-7.8748176,110.3255365
Giriloyo Batik Village,4.5,1278,Tourist attraction,Gazebo Wisata Giriloyo,Bantul,Giriloyo Batik Village Tourist attraction Bantul ,-7.9158931,110.3983021
Selopamioro Adventure Park,4.5,1021,Tourist attraction,Dusun Jetis Rt 04,Bantul,Selopamioro Adventure Park Tourist attraction Bantul ,-7.946248,110.4265856
Waterbyur Taman Air,4.2,637,Tourist attraction,Jl. Pramuka No.30,Bantul,Waterbyur Taman Air Tourist attraction Bantul ,-7.8814715,110.3394116
Kedung Tolok,4.3,287,Tourist attraction,Jl. Imogiri Siluk,Bantul,Kedung Tolok Tourist attraction Bantul ,-7.9632695,110.3842578
Taman Dinosaurus Potorono - Potorono Edu Park,4.6,271,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Taman Dinosaurus Potorono - Potorono Edu Park Tourist attraction Bantul ,-7.8326446,110.4206426
Angkringan Puncak Bibis,4.6,3096,Tourist attraction,Jl. Bibis,Bantul,Angkringan Puncak Bibis Tourist attraction Bantul ,-7.8539972,110.3132358
Hutan Pinus Pengger,4.5,23315,Tourist attraction,Jl. Dlingo-Patuk,Bantul,Hutan Pinus Pengger Tourist attraction Bantul ,-7.8712041,110.4595144
Kalen Edukasi Lupatmo,4.6,121,Tourist attraction,"39RP+W2H, Unnamed Road",Bantul,Kalen Edukasi Lupatmo Tourist attraction Bantul ,-7.9076961,110.3851127
